Tweet,Replies,Reposts,Likes,Bookmarks,Posted,Username,UserDescription,UserProfessionalCategory,UserUrl,UserJoinDate
"国交省：緊急復旧（道路啓開）の状況
https://mlit.go.jp/road/road_fr4_000151.html…
令和６年能登半島地震　道路復旧見える化マップ
https://mlit.go.jp/road/r6noto/index2.html…
TOYOTA通れた道マップ
https://toyota.co.jp/jpn/auto/passable_route/map/…
ITS乗用車・トラック通行実績情報
https://disaster-system.its-jp.org/map4/map/#map=9/37.255473/137.079162&layer=gsi…",6.0,21.0,3351.0,,2024-01-30T22:43:05.000Z,Yuanrang@Ievrem,I'm trying to write in English. A very lazy birder. 　フォロー、リムーブご自由にどうぞ,,twilog.org/Ievrem,Joined July 2009
"Johns Hopkins CSSE https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6………
疫情实时播报
https://3g.dxy.cn/newh5/view/pneumonia………
WHO COVID-19 data charts 
@h_okumura
https://oku.edu.mie-u.ac.jp/~okumura/python/COVID-19.html………
CoViD19-ΛFЯICΛ 
http://covid-19-africa.sen.ovh/index.php?hitmap=ok…… 
@NCoVAfrica 
Hospital beds for COVID-19  
https://stopcovid19.jp/#en @taisukef",1.0,3.0,68.0,,2020-11-20T09:46:52.000Z,Yuanrang@Ievrem,I'm trying to write in English. A very lazy birder. 　フォロー、リムーブご自由にどうぞ,,twilog.org/Ievrem,Joined July 2009
The 3 People who always like and retweet your tweets,6.0,217.0,410.0,10.0,2016-10-12T05:41:47.000Z,King Weezh ♛@WeezhOG,"not active anymore, I’m on Instagram https://instagram.com/p/CJZYVSrJ4Ag/?igshid=9osiiv131yyz…",,youtube.com/c/Weezh,Joined June 2013
"Happy Halloween from your favorite kitte-
I mean Catwoman",1.0,19.0,1803.0,,2023-10-31T23:25:29.000Z,Nim @YazyFizzle,| just your average tenacious egirl |,,,Joined November 2010
They really be like “oh so I’m just the worst mother in the world huh? I do noooothing for you” like why are you like this pleaseeee,12.0,182.0,1729.0,10.0,2019-11-07T15:57:04.000Z,Nim @YazyFizzle,| just your average tenacious egirl |,,,Joined November 2010
deceased  @asialbx,1.0,16.0,142.0,4.0,2018-09-11T16:43:14.000Z,Nim @YazyFizzle,| just your average tenacious egirl |,,,Joined November 2010
How awesome is this!!! #OPLive #OPLiveNation #OnPatrolLive,26.0,314.0,131.0,1.0,2022-11-27T03:45:30.000Z,Adrain @Adralicious,I tweet randomly about everything… #BRAVO #BigBrother #OPLive #OneChicago IG:adralicious,,,Joined April 2009
"Don't just speak SAY IT LOUD on issues that matter at YOUNG INDIA page and let it reach to masses
#YoungIndia
http://young-india.in/say-it-loud/",,,,,2017-04-08T17:21:43.000Z,Young India@youngindia_,,,young-india.in,Joined March 2017
"Teacher: Alright that's all for class today.
Classmate: What about last night's homewo...",12.0,23.0,,,2016-05-16T21:59:57.000Z,Kobidiah@krehbielk,"Washed up has-been collegiate pitcher. Cardinals baseball, Notre Dame football, and meat on the smoker sums it up",,,Joined January 2012
It's here. Listen to Good to Me now  - https://mailchi.mp/shannoncurtis/good-to-me-release-day…,3.0,10.0,,,2022-12-02T16:00:29.000Z,Shannon Curtis@ShannonCurtis,"pack your things & let's go, everyone. find me here: https://mastodon.social/@shannoncurtis",,linktr.ee/shannoncurtis,Joined December 2008
10pm photoshoots are the norm here in Iceland,3.0,2.0,193.0,2.0,2019-06-02T00:11:31.000Z,Jill@Jilliannnn7,,,,Joined July 2011
"Hi @odtnews,

Thanks for your half arsed apology. We'd really appreciate a pallet or two of hand sanitizers and N95 masks for our hospital and the country as a whole. 

THAT would be an even better apology for your insensitive and immoral cartoon. 

Cheers",7.0,100.0,430.0,,2019-12-03T03:53:12.000Z,JR@guyfromsamoa,"Engage, Encourage, Empower! 
Proud Scarfie 
#Aspire2Serve
#685TOTHEWORLD
#UnderbellyPeacemaker
RT ≠ endorsement 
Views are my own & NOT my employer",,,Joined June 2009
Pretty sure @usmc wouldn't want this guy being the 2023 face of the USMC,1.0,20.0,205.0,31598.0,2023-01-08T00:58:55.000Z,JR@guyfromsamoa,"Engage, Encourage, Empower! 
Proud Scarfie 
#Aspire2Serve
#685TOTHEWORLD
#UnderbellyPeacemaker
RT ≠ endorsement 
Views are my own & NOT my employer",,,Joined June 2009
@AP Care to explain this????,6.0,14.0,189.0,,2020-01-25T07:52:27.000Z,JR@guyfromsamoa,"Engage, Encourage, Empower! 
Proud Scarfie 
#Aspire2Serve
#685TOTHEWORLD
#UnderbellyPeacemaker
RT ≠ endorsement 
Views are my own & NOT my employer",,,Joined June 2009
Beautiful friendship,1.0,3.0,175.0,,2018-12-05T16:32:17.000Z,JR@guyfromsamoa,"Engage, Encourage, Empower! 
Proud Scarfie 
#Aspire2Serve
#685TOTHEWORLD
#UnderbellyPeacemaker
RT ≠ endorsement 
Views are my own & NOT my employer",,,Joined June 2009
BREAKING : Friends show to end,1.0,22.0,168.0,,2017-06-03T03:25:31.000Z,JR@guyfromsamoa,"Engage, Encourage, Empower! 
Proud Scarfie 
#Aspire2Serve
#685TOTHEWORLD
#UnderbellyPeacemaker
RT ≠ endorsement 
Views are my own & NOT my employer",,,Joined June 2009
Can someone please tell Eliota that the vaccines are free. We have teams upon teams going out to the villages as well for the shots. Eliota is doing nothing but complain about things because he's not the centre of attention. Doing a great disservice to all those saving lives!,7.0,26.0,169.0,,2019-11-29T22:59:50.000Z,JR@guyfromsamoa,"Engage, Encourage, Empower! 
Proud Scarfie 
#Aspire2Serve
#685TOTHEWORLD
#UnderbellyPeacemaker
RT ≠ endorsement 
Views are my own & NOT my employer",,,Joined June 2009
I'm only as strong as my wifi signal,3.0,,,,2016-04-27T19:11:27.000Z,Bailey Jaworski@BaileyJaworski,Cool kid wannabe,,Instagram.com/dr_bailey,Joined April 2009
There isn't any #ai that can match what Mother Nature creates everyday.,1.0,1.0,25.0,,2024-01-14T20:21:21.000Z,d!giD0F@DigiDOF,"Gen-X - W/Experience from A-trax to A.i. from The X-Men 2 Ox/Hex 2 Quantum Leap, from the 80s - 2G to π Learning the Learner.",Vintage Store,,Joined February 2011
49er faithfuls ride with me  #FTTB #SuperBowl #LFG,78.0,34.0,1268.0,11.0,2024-02-11T20:55:17.000Z,Melly @mellycakeslove,"Welcome to Melissa Mania. I'm just a good girl from Eastside Une, trying to keep my life in tune. Virgo Goddess. ommy Life. Niner Faithful. Social Butterfly.",,,Joined September 2010
My hair was SO on point yesterday!,104.0,26.0,962.0,10.0,2023-06-24T20:48:51.000Z,Melly @mellycakeslove,"Welcome to Melissa Mania. I'm just a good girl from Eastside Une, trying to keep my life in tune. Virgo Goddess. ommy Life. Niner Faithful. Social Butterfly.",,,Joined September 2010
Anyone have info on how I can book the Pointer Brothers for my parole hearing?,1.0,1.0,3.0,1.0,2022-02-09T15:09:10.000Z,Al Prazolam (Parity)  @drunk8gods,"It's the 90s baby, no time to be conservative.",,dancingjesushomepage.tumblr.com,Joined January 2009
Do You Need Help Putting All of the Pieces Together For Your Online Business? Having a Mentor to Guide You Makes All the Difference… I Want to Be That  Mentor for You As You Build and Grow a Profitable Online Business From  Home... Come aboard at https://MonthlyMentorProgram.com,28.0,,,,2024-04-05T19:04:00.000Z,Connie Ragen Green@ConnieGreen,"Online marketing strategist, bestselling author, and international speaker on the topics of entrepreneurship and inner game mind shifts. Start here...",Writer,linktr.ee/ConnieRagenGre…,Joined April 2008
"Working on something huge... we're in stealth 

→ get early access below",36.0,30.0,475.0,137.0,2024-04-03T17:21:55.000Z,Linus ●ᴗ● Ekenstam@LinusEkenstam,"AI Gardener & Designer. Follow to get the latest AI trends, learn how to use AI tools to augment yourself - @bedtimestoryai @typeform @flodeskinc @thingtesting_",,calendly.com/linusekenstam/…,Joined April 2007
"This is unacceptable, should not be possible 

Made possible by @_nonfigurativ_",1071.0,8412.0,60797.0,14196.0,2023-11-22T16:05:50.000Z,Linus ●ᴗ● Ekenstam@LinusEkenstam,"AI Gardener & Designer. Follow to get the latest AI trends, learn how to use AI tools to augment yourself - @bedtimestoryai @typeform @flodeskinc @thingtesting_",,calendly.com/linusekenstam/…,Joined April 2007
"THANK YOU @DjokerNole for your existence and your greatness, for your kindness and the goodness of your heart.",2.0,12.0,83.0,2.0,2017-04-22T07:30:46.000Z,Sanja@SanjaSkipy,"28 years old, Master of Laws | Novak Djokovic is everything | Followed by @DjokerNole & @AnaIvanovic |",,,Joined December 2011
Andre Fatehi,134.0,755.0,16651.0,187.0,2024-04-03T15:57:09.000Z,Sagar@sagarcasm,5 time Champion in Gully Cricket. Went to IIM Ahmedabad to meet a friend. Chief Administrator in 3 WhatsApp Groups.,,linkedin.com/company/sagarc…,Joined September 2009
"If I win, I will donate all the money for development of football in India 

Hit the like button",1944.0,14914.0,227748.0,547.0,2023-07-14T11:38:22.000Z,Sagar@sagarcasm,5 time Champion in Gully Cricket. Went to IIM Ahmedabad to meet a friend. Chief Administrator in 3 WhatsApp Groups.,,linkedin.com/company/sagarc…,Joined September 2009
I'm embarrassed . This nigga just pulled up on me as I was leaving BevMo & asked what I was going thru & I was confused af so I'm like huh & he was like you too pretty to be listening to teach me how to dougie in 2022 Then pulled off  disgusted,168.0,3354.0,24918.0,433.0,2022-05-13T23:37:32.000Z,Jaz'oynce Targaryen@Miss_Dalisa,$$$,,,Joined March 2009
If biggie woulda tried to holla at me and grabbed my arm in the club I'd look him in that one eye and scream at the top of my lungs,270.0,5320.0,23593.0,680.0,2023-01-31T09:40:03.000Z,Jaz'oynce Targaryen@Miss_Dalisa,$$$,,,Joined March 2009
My nephew is so handsome OMG,22.0,137.0,9579.0,45.0,2024-03-20T16:08:37.000Z,Jaz'oynce Targaryen@Miss_Dalisa,$$$,,,Joined March 2009
Generation full of people who can't read . can't communicate . Can't empathize . Can't control their horny . Can't get past their trauma . Can't maintain healthy friendships . Can't keep a job . Cant shut the fuck . Can't mind their business . Can't self reflect .,27.0,1956.0,4562.0,658.0,2024-03-06T08:19:46.000Z,Jaz'oynce Targaryen@Miss_Dalisa,$$$,,,Joined March 2009
As of today I am no longer an employee of the Dallas Cowboys. I want to thank the Jones Family for an incredible opportunity. They put me on the world stage and I’ll always be grateful. I am looking forward with anticipation to my next challenge here very soon.,2505.0,1278.0,7975.0,18.0,2019-11-18T18:37:00.000Z,BryanBroaddus@BryanBroaddus,@GBagNation 2-7pm M-F @1053TheFan Love of the Star Podcast @TheDraftShow Super Bowl Champ - Green Bay Packers ‘96. Emmy Winner. LSU Tigers. Proud Father,,1053TheFan.com,Joined July 2010
Someone buy Wilson a beer after that 4th and 4 catch. That saved your game.,115.0,367.0,3955.0,2.0,2021-10-17T23:59:04.000Z,BryanBroaddus@BryanBroaddus,@GBagNation 2-7pm M-F @1053TheFan Love of the Star Podcast @TheDraftShow Super Bowl Champ - Green Bay Packers ‘96. Emmy Winner. LSU Tigers. Proud Father,,1053TheFan.com,Joined July 2010
Procedure went very well. No blockage in my heart. Doctor who worked on me was a TOLO. Staff was super nice @TXHealthSurgery as well. Should be back in action on Wednesday. OTAs. @CowboysBreak and @gbagnation.,347.0,105.0,3163.0,3.0,2023-06-06T19:41:53.000Z,BryanBroaddus@BryanBroaddus,@GBagNation 2-7pm M-F @1053TheFan Love of the Star Podcast @TheDraftShow Super Bowl Champ - Green Bay Packers ‘96. Emmy Winner. LSU Tigers. Proud Father,,1053TheFan.com,Joined July 2010
mi familia,32.0,,,,2024-02-18T13:14:02.000Z,hil ღ@hillaryjaneee,my dear diary,,,Joined June 2012
"Lets not disappoint the gentlemen anymore, Happy Birthday Boss and Marry Christmas guys!",1.0,1.0,11.0,,2018-12-25T01:06:29.000Z,Soban Shahid@sbnshahid,Strategic Procurement at Coca Cola | @LifeAtLUMS | Former President IEEE Lums | Past at Engro & PEL,,facebook.com/sbn.shahid,Joined February 2012
"What sane mother would say this to her 24 year old, unmarried, financially unstable daughter??",2.0,18.0,,,2019-11-16T03:49:56.000Z,Megan Puglia@MeganPuglia,you’re*,,,Joined March 2012
"""Take extreme ownership of everything in your world. Take ownership of your mission. Take ownership of the future you want to create"" #MondayMotivation",1.0,5.0,16.0,,2020-01-06T13:19:28.000Z,MïshhhhheXe on Mars@MishMatheus,I empower innovators by way of social. Life Mantra  Leave it better than you found it. Freedom over fear.,,instagram.com/mishmatheus,Joined November 2008
I’ve been sleep on Wizkid for too long,14.0,144.0,813.0,,2021-07-17T21:54:17.000Z,$tevie Wonderfuł@Dready_Day,VCU Alum.,,,Joined January 2013
Yo am I the only who hasn't been getting VCU alerts for crimes?? Ain't no way Richmond just stop wilding out after one semester,152.0,384.0,,,2017-02-17T01:38:16.000Z,$tevie Wonderfuł@Dready_Day,VCU Alum.,,,Joined January 2013
pear......,1.0,4.0,89.0,,2017-03-20T16:18:17.000Z,$tevie Wonderfuł@Dready_Day,VCU Alum.,,,Joined January 2013
Bc that one horse really needs to be pulling all of them damn people  in 80 degree weather smh,42.0,71.0,,,2017-04-21T21:11:34.000Z,$tevie Wonderfuł@Dready_Day,VCU Alum.,,,Joined January 2013
"Another carriage horse named ""Big John"" collapsed on the streets of Charleston. Tell the City of Charleston to ban horse carriages for good!",1.0,34.0,72.0,,2017-04-21T04:30:59.000Z,$tevie Wonderfuł@Dready_Day,VCU Alum.,,,Joined January 2013
"The heavens reward thee manifold, I pray.",6.0,,,,2016-05-09T01:55:02.000Z,Tea Saolele@Tea_Muaiava,A ready heart,,,Joined November 2014
You remember nevel papperman from iCarly? Well this is him now. Feel old yet?,4.0,105.0,353.0,,2015-02-11T02:32:13.000Z,nick@nickrmyers,CBU baseball - CK15,,,Joined May 2013
I JUST MET FERGIE JENKINS!!!!!!!,95.0,68.0,1034.0,2.0,2019-03-30T18:40:26.000Z,Mary #FlyTheW @mchastain81,"Work: @LegInsurrection @reason @thehill @dcexaminer. I LOVE baseball, esp. @Cubs. Catholic. libertarian. @okstate alumna. @SetonHallLaw '25 #SaveWomensSports",Media & News,legalinsurrection.com/author/mechast…,Joined April 2009
I had my last cigarette 8 weeks ago. I haven't smoked in TWO MONTHS.,318.0,56.0,5076.0,4.0,2020-12-08T22:50:24.000Z,Mary #FlyTheW @mchastain81,"Work: @LegInsurrection @reason @thehill @dcexaminer. I LOVE baseball, esp. @Cubs. Catholic. libertarian. @okstate alumna. @SetonHallLaw '25 #SaveWomensSports",Media & News,legalinsurrection.com/author/mechast…,Joined April 2009
It's a trap! https://x.com/DepressedDarth/DepressedDarth/status/1355937880212992002…,79.0,277.0,5366.0,20.0,2021-01-31T17:57:44.000Z,Mary #FlyTheW @mchastain81,"Work: @LegInsurrection @reason @thehill @dcexaminer. I LOVE baseball, esp. @Cubs. Catholic. libertarian. @okstate alumna. @SetonHallLaw '25 #SaveWomensSports",Media & News,legalinsurrection.com/author/mechast…,Joined April 2009
"I'm delighted to announce I've written a new crime series, set in the wonderful city of Chester, featuring a new detective; DI Emma Christie.

It's up for pre-order now and released on March 26.

#crime
#chester
#thriller",3.0,56.0,58.0,2245.0,2024-02-11T10:00:45.000Z,m j lee@WriterMJLee,Author of crime and mystery novels. Member of the CWA. Flaneur. Erstwhile creative director and dad. Can be found in a wine glass.,,writermjlee.com,Joined April 2015
"I can’t believe it’s only been a month of you being gone, I miss you everyday Mum",4.0,50.0,,,2021-07-27T20:14:47.000Z,©®@ChloeRaphael5,sc - chloe.raphs5,,,Joined April 2014
"All the things you take for granted, someone else is praying for them right now",1.0,39.0,86.0,1.0,2016-03-07T01:59:39.000Z,Vick™@v1ck_mendoza,"El Colongo, Michoacan // SC :@v1ck_mendoza",,,Joined September 2013
My favorite thing to do is LAUGH & to make people LAUGH,1.0,1.0,,,2019-07-30T18:06:46.000Z,ROC SOLID@rockiesworld,"JR is my & my  My Quote:""Stay UP it's no room down there"" Aquarius Queen",,,Joined May 2009
"First time managing a crew solo
Watering the skin for a pro game 
Heart rate",8.0,2.0,270.0,,2022-04-25T04:44:56.000Z,Sean Cheng @ChengsTweets,Oakland Athletics Groundskeeper | IG: sean_cheng24｜ Views are my own and not of my employer,,,Joined July 2009
Ohtani going out of his way to walk around the Opening Week logo.,15.0,177.0,1364.0,4.0,2018-04-08T20:59:50.000Z,Sean Cheng @ChengsTweets,Oakland Athletics Groundskeeper | IG: sean_cheng24｜ Views are my own and not of my employer,,,Joined July 2009
"EW spoiler policy
1. i will post screenshots of new gear that i get
2. if i am talking about MSQ ill use rot13
3. i wont post obvious screenshots of new content until the weekend after full launch",1.0,1.0,,,2021-12-01T09:09:05.000Z,Bitingway@SexVegeta,"Louka Nieves @ Malboro, WAR/DRG Main",,,Joined September 2013
Life is too short to hate people. So if I die tomorrow just want to let you all know I have no grudge for anyone.,1.0,5.0,22.0,,2021-01-28T06:04:36.000Z,Aqua dé Vida@Waq_Ar,"""When someone directs a foolish question my way, I feel it's my legal responsibility to offer a sarcastic reply.” Kashmiri",,instagram.com/waq_ar,Joined May 2011
"Artists!!
If you need your songs mixed and mastered, hit me up. You can DM me or hit my email in my bio.",11.0,15.0,,,2016-08-10T03:29:31.000Z,mixedby:zdavi@ZDavi,Cool dude in a cold world. mixedbyzdavi@gmail.com $ZDavi,,,Joined January 2009
Twenty-FINE,2.0,11.0,38.0,1584.0,2024-02-23T19:01:31.000Z,Bella Goth@_____kay__,im just a girl,,instagram.com/_makayla.s,Joined January 2013
I saw mcr twice what the fuck,4.0,,,,2022-05-27T01:12:51.000Z,'these are my best friends'@insanityIaughs,See the man who stands upon the hill. He dreams of all the battles won.,,,Joined April 2012
"The equation is simple! When HE laughs, WE laugh... When HE cries, WE cry... Forever & proud SRKians for life",77.0,429.0,290.0,1.0,2016-05-07T07:00:37.000Z,нαηιғ@HanifTheSRKian,"SRK  , Messi  , Dhoni 

*FAN ACCOUNT*",,,Joined November 2014
BossLogic  Hope in future you design some of SRK's Movie Poster,1.0,27.0,173.0,2.0,2023-10-28T11:14:41.000Z,нαηιғ@HanifTheSRKian,"SRK  , Messi  , Dhoni 

*FAN ACCOUNT*",,,Joined November 2014
@gibsonguitar @SINISTERGP @JetCityAmp @vonyorkusa @MorleyPedals #georgelscables,1.0,13.0,15.0,,2017-11-01T20:23:48.000Z,Mark Claytor@mcsologuitar,"Original, Instrumental, Rock, Guitar, Music!",,mcsologuitar.com,Joined November 2010
145 pounds of pure joy and i could care less!!,591.0,32325.0,62122.0,19.0,2015-06-08T03:33:19.000Z,al pal@aIexjoy,one constant shit show || ig @alex.joy,,piecesbyjoy.co,Joined February 2014
that girl is poison,65.0,1193.0,14780.0,111.0,2018-05-11T03:02:41.000Z,al pal@aIexjoy,one constant shit show || ig @alex.joy,,piecesbyjoy.co,Joined February 2014
it's about damn time i'm legal,123.0,909.0,10450.0,35.0,2018-02-19T03:46:29.000Z,al pal@aIexjoy,one constant shit show || ig @alex.joy,,piecesbyjoy.co,Joined February 2014
Issa mood,9.0,,,,2018-03-19T04:52:47.000Z,Areli Preciado@areliii_1,JAL | LA  B.S. Kinesiology-Rehabilitative Services Cantante Nail business owner gamertwitch- apreci20 IG: arelipreciado97,,twitch.tv/apreci20,Joined December 2014
love you lots tobi.,5.0,2.0,54.0,1.0,2019-07-13T03:27:32.000Z,mads@sailorlou,tobi lou love bot ଘ(੭ ˘ ᵕ˘) ♡ ✧･ﾟ (i am not impersonating tobi lou),,tobilou.com,Joined August 2018
Bound by the Infinity of Music! #MusicIsTheMasterOfMySoul,9.0,,,,2013-11-14T15:20:59.000Z,Regi@ReginatorX,"#ReginatorX #MusicIsTheMasterOfMySoul, Married to my Best Friend Paul!",,,Joined September 2013
HOJE FAZ UM ANO DO MELHOR MOMENTO DA MINHA VIDA: O DIA QUE LANA DEL REY ME SEGUIU NO INSTA,,,,,2017-09-19T10:58:55.000Z,yuri æ@oyurifernandes,I'd be lying if I said I wasn't sick of it,,linktr.ee/oyurifernandes,Joined January 2012
The disobedience of mankind will be the downfall of the earth.,1.0,6.0,,,2019-05-06T19:44:04.000Z,J.@JShammie,we will conquer                             instagram: saminexxi,,youtube.com/channel/UCRVfJ…,Joined October 2011
taking Ls like its my job,5.0,,,,2016-01-27T21:55:00.000Z,Kart@KarstenLindahl,never expect anything and you won't be disappointed,,,Joined July 2012
"its a large population country sir. 

we will discover data we set out to find. exact opposite anti-data is also happening at the same time",1.0,3.0,781.0,,2023-04-12T04:42:54.000Z,finkrishna@finkrishna,Blockchain student,,,Joined July 2009
"Hi guys! I have just launched my baby and I sell scented candles with a positive message. Have a look at my Instagram and you might find what you like. 
https://instagram.com/otgartesania?igshid=kru5s356e7iz…",3.0,40.0,74.0,4.0,2020-07-25T08:57:50.000Z,Nomsa M @Nomzy_M,"Entrepreneur, founder of @OTGArtesania I DONT PLAY SMALL! Ngwana wa Badimo",,instagram.com/otgartesania?i…,Joined July 2011
I always thought as a child I'd have more trouble with quicksand than I would with Nazis.,2.0,15.0,88.0,1.0,2017-08-12T21:07:40.000Z,Cat what looks like a duck.@Joseph_Palmer,"M,M,M,P Vaccinated. ⦽
I love to sing.
I look MUCH better in a mask.
I play guitar. (But not particularly well.)
He/Him 
I follow smart people.",,josephpalmer.com,Joined April 2009
"girls should be allowed to do one murder and just get away with it. no murder for boys, but i think girls should get one. i’m a feminist",2.0,33.0,230.0,2.0,2021-02-04T21:28:21.000Z,Jonathan Young@jonathanyoung97,BFA NYU. definitely former blue check. tweets are my own and retweets are how I pass the time,,blacklivesmatters.carrd.co/#,Joined July 2012
What happened to the head nod iykyk,170.0,,,,2023-04-21T16:51:42.000Z,•@Kentonism,,,,Joined August 2010
"NEW SINGLE ""CLOUT"" IS OUT NOW ON ALL PLATFORMS. LINK IN BIO https://distrokid.com/hyperfollow/sledgerdon/clout-2…

Produced by @NYBangers
.
.
.
.
#sledgerdon #newmusicoutnow #newmusicalert #cloutoutnow #allplatforms #TrinidadandTobago #clout",2.0,1.0,7.0,,2021-07-31T04:44:53.000Z,Sledger Don @Sledger_Don,"Rapper/Songwriter
NEW MIXTAPE COMING SOON.
Who Me Whoopty Freestyle out now",Musical Artist,linktr.ee/sledgerdon,Joined October 2013
"Solar is a high profitable industry & growing very aggressively in India. Starting a solar business may make you bilinear. 

Watch YouTube video: https://youtu.be/6gIsI1CeDAE
Apply for Franchise: http://ow.ly/oj9X50CQMcO",1.0,1.0,1.0,,2020-12-21T09:10:17.000Z,IndiaGoSolar@indiagosolar,"IndiaGoSolar is India’s 1st Solar eCommerce market place Founded by IIT,IIM’s alumni & experienced professional of MNCs. M:8882210166  support@indiagosolar.in",,indiagosolar.in,Joined January 2015
"Trilogy 
After Hours, Dawn Fm, After Life",1.0,1.0,11.0,1.0,2022-01-11T03:27:44.000Z,J.Cole said im a hoe@ovoxo_nicole,Well I can’t eat your ass if you’re gonna be tweeting about it,,,Joined February 2012
who tf forgets to text back somebody they’re genuinely interested in? nobody,947.0,52301.0,189396.0,2866.0,2020-06-20T18:18:06.000Z,susan@luvsusieq,what others think of me is none of my business..,,Instagram.com/luvsusieq,Joined September 2009
I’ll sacrifice April and May.. I just need June and July.,95.0,43222.0,131992.0,298.0,2020-04-20T19:31:12.000Z,susan@luvsusieq,what others think of me is none of my business..,,Instagram.com/luvsusieq,Joined September 2009
"things I need rn:
1. an orgasm 
2. attention 
3. $50,000",325.0,26836.0,91705.0,1285.0,2021-04-03T03:07:12.000Z,susan@luvsusieq,what others think of me is none of my business..,,Instagram.com/luvsusieq,Joined September 2009
"if he doesn’t check to see if you ate, or need to be ate.. he’s not the one.",102.0,14106.0,58339.0,1362.0,2021-09-23T00:58:14.000Z,susan@luvsusieq,what others think of me is none of my business..,,Instagram.com/luvsusieq,Joined September 2009
"""we gonna fight when i see u""",116.0,7907.0,26211.0,1275.0,2020-09-29T18:54:05.000Z,susan@luvsusieq,what others think of me is none of my business..,,Instagram.com/luvsusieq,Joined September 2009
Me veía linda,2.0,5.0,244.0,,2024-03-28T20:55:31.000Z,Yaloso@_WildEyes_,,,,Joined December 2016
"album: 
O.P. https://unitedmasters.com/m/dayop

videos: 
O.P. https://youtu.be/LH0r2xKDeas
Bridge https://youtu.be/FxQEmBNQ5JE
Danger https://youtu.be/5vrw5y2LMms",6.0,9.0,1043.0,,2023-02-15T13:00:55.000Z,IMB SuprHeem@DayObama,subtitles,,linktr.ee/dayobama,Joined March 2009
"I am a proud descendant of a Ghanaian slave. One of my cousins traced our family history in Tobago back to that slave. You cannot embarrass me with my history, so don't try. HYMC",17.0,78.0,831.0,14.0,2022-06-03T16:01:19.000Z,Jax YW@TriniJax,"Boss Lady, civil engineer, consultant, hotelier, YummyMummy, Potterite, Chelsea FC, cat lady, Superwoman. Sports, music, books, fine wines & finer men",,waitingonthewestcotts.com,Joined November 2010
Allyuh...remember when we were worried about Chikungunya? And Zika??? Good times,14.0,357.0,1748.0,6.0,2020-09-11T21:08:29.000Z,Jax YW@TriniJax,"Boss Lady, civil engineer, consultant, hotelier, YummyMummy, Potterite, Chelsea FC, cat lady, Superwoman. Sports, music, books, fine wines & finer men",,waitingonthewestcotts.com,Joined November 2010
"Personally, I'm over this pantyliner",2.0,91.0,1414.0,6.0,2021-02-23T17:38:55.000Z,Jax YW@TriniJax,"Boss Lady, civil engineer, consultant, hotelier, YummyMummy, Potterite, Chelsea FC, cat lady, Superwoman. Sports, music, books, fine wines & finer men",,waitingonthewestcotts.com,Joined November 2010
I'm at the Nagar for my 2nd shot. Literally thousands of people here organized in an orderly manner. They're doing 800 jabs an hour. Over 4000 done already. Kudos to the TTMA  and the T&T Medical Association,10.0,106.0,789.0,3.0,2021-07-18T18:52:02.000Z,Jax YW@TriniJax,"Boss Lady, civil engineer, consultant, hotelier, YummyMummy, Potterite, Chelsea FC, cat lady, Superwoman. Sports, music, books, fine wines & finer men",,waitingonthewestcotts.com,Joined November 2010
Dear @MOH_TT please administer the Pfizer vaccines IN SCHOOLS to prevent adults procuring vaccines meant for children. Please and thank you,13.0,168.0,665.0,1.0,2021-08-12T13:59:15.000Z,Jax YW@TriniJax,"Boss Lady, civil engineer, consultant, hotelier, YummyMummy, Potterite, Chelsea FC, cat lady, Superwoman. Sports, music, books, fine wines & finer men",,waitingonthewestcotts.com,Joined November 2010
"For a tiny country,  with one of the highest literacy rates in the world, T&T has an extraordinary amount of stupid people",9.0,142.0,580.0,,2019-10-25T13:35:13.000Z,Jax YW@TriniJax,"Boss Lady, civil engineer, consultant, hotelier, YummyMummy, Potterite, Chelsea FC, cat lady, Superwoman. Sports, music, books, fine wines & finer men",,waitingonthewestcotts.com,Joined November 2010
"Good morning! Woke up to judgy Twitter. I choose violence today. It's possible to be simultaneously  concerned about Carnival, covid, missing divers, WW3, and my footie team losing a final. The degree of concern for each varies. Police your own self righteousness, not mine. HYMC",9.0,89.0,572.0,2.0,2022-02-28T13:30:19.000Z,Jax YW@TriniJax,"Boss Lady, civil engineer, consultant, hotelier, YummyMummy, Potterite, Chelsea FC, cat lady, Superwoman. Sports, music, books, fine wines & finer men",,waitingonthewestcotts.com,Joined November 2010
"You really can't vote your way out of neoliberalism! It's time to shift from online commentary to organising. 

Join PSM in the struggle that still lives  --> http://form.jotform.com/200491710201034
#PilihSuaraMarhaen",30.0,41.0,3.0,,2022-11-20T03:53:19.000Z,#PilihSuaraMarhaen ☭@amandaaalouisss,working class solidarity and queer liberation |   | @iamgandipan's komrad tersayang,,linktr.ee/partisosialis,Joined January 2013
The parents                  The kid,4.0,1.0,27.0,,2020-10-21T16:32:58.000Z,KiiNG_DiEzEL@KUSHnBelvii,sɓuıɿǝǝɟ oʎ ʞɔnɟ,,,Joined March 2009
